city, code
Aberdeen,GB
Armagh,GB
Bath,GB
Belfast,GB
Birmingham,GB
Brighton,GB
Bristol,GB
Cambridge,GB
Canterbury,GB
Cardiff,GB
Carlisle,GB
Chelmsford,GB
Chester,GB
Chichester,GB
Derry,GB
Dundee,GB
Durham,GB
Edinburgh,GB
Ely,GB
Exeter,GB
Glasgow,GB
Gloucester,GB
Hereford,GB
Inverness,GB
Kingston upon Hull,GB
Lancaster,GB
Leeds,GB
Lichfield,GB
Lincoln,GB
Lisburn,GB
Liverpool,GB
London,GB
Manchester,GB
Newcastle,GB
Newry,GB
Nottingham,GB
Oxford,GB
Peterborough,GB
Plymouth,GB
Ripon,GB
St Albans,GB
St Asaph,GB
St Davids,GB
Salford,GB
Salisbury,GB
Sheffield,GB
Southend-on-Sea,GB
Southampton,GB
Stirling,GB
Stoke-on-Trent,GB
Swansea,GB
Truro,GB
Wakefield,GB
Wells,GB
Winchester,GB
Wolverhampton,GB
Worcester,GB
York,GB